"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Hepatocyte-1 cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","53,015","Download Explore"
"Cholangiocytes from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","1,011","Download Explore"
"All cells types from snRNA-seq of human primary sclerosing cholangitis patients and healthy controls Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal 2 diseases","10x 3' v3","Homo sapiens","105,780","Download Explore"
"Visium spatial data from human healthy liver donor; sample C73_D1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All_RGL Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","70,803","Download Explore"
"Full_Dataset Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","166,785","Download Explore"
"All_Neuron_GLUT Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","29,523","Download Explore"
"Macrophage cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","11,127","Download Explore"
"Placenta Infection Acute response to pathogens in the early human placenta at single-cell resolution","placenta","normal 3 diseases","10x 3' v3","Homo sapiens","158,978","Download Explore"
"Visium spatial data from human healthy liver donor; sample C73_B1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All_Neuron_Peptidergic Chromatin accessibility during human first-trimester neurodevelopment","8 tissues","normal","10x multiome","Homo sapiens","7,092","Download Explore"
"Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_C1 Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","primary sclerosing cholangitis","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Stellate cells from human healthy donor liver samples Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver","caudate lobe of liver","normal","10x 3' v2 10x 5' v1","Homo sapiens","1,417","Download Explore"
"Endothelium and SMC Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","19,317","Download Explore"
"Myofiber (nuclei) Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","74,626","Download Explore"
"Immune Cells Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","20,321","Download Explore"
"Myofiber (cells and nuclei) Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","87,522","Download Explore"
"MuSCs Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","17,528","Download Explore"
"Fibroblasts and Schwann cells Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","20,611","Download Explore"
"Human muscle cells and nuclei Human skeletal muscle ageing atlas","intercostal muscle","normal","10x 3' v2 10x 3' v3","Homo sapiens","183,161","Download Explore"
"Ovarian tissue from donor 3 Cellular atlas of the human ovary using morphologically guided spatial transcriptomics and single-cell sequencing","ovary","normal","10x 3' v3","Homo sapiens","7,571","Download Explore"
"Ovarian tissue from donor 5 Cellular atlas of the human ovary using morphologically guided spatial transcriptomics and single-cell sequencing","ovary","normal","10x 3' v3","Homo sapiens","6,339","Download Explore"
"Ovarian tissue from donor 4 Cellular atlas of the human ovary using morphologically guided spatial transcriptomics and single-cell sequencing","ovary","normal","10x 3' v3","Homo sapiens","7,288","Download Explore"
"Single-cell RNA-seq analysis of Interstitial Lung Disease (ILD) subtypes Single-cell RNA-seq analysis of Interstitial Lung Disease (ILD) subtypes","lung","normal 6 diseases","10x 5' v1 10x 5' v2","Homo sapiens","471,905","Download Explore"
"HBCA - epithelial Human breast cell atlas","breast","normal","10x 3' v3","Homo sapiens","352,496","Download Explore"
"HBCA - stroma Human breast cell atlas","breast","normal","10x 3' v3","Homo sapiens","416,825","Download Explore"
"HBCA - immune Human breast cell atlas","breast","normal","10x 3' v3","Homo sapiens","25,382","Download Explore"
"Integrated HBCA Human breast cell atlas","breast","normal","3 assays","Homo sapiens","2,122,065","Download Explore"
"HBCA - global Human breast cell atlas","breast","normal","10x 3' v3","Homo sapiens","803,283","Download Explore"
"dataset of 'High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy' High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy","interventricular septum","hypertrophic cardiomyopathy normal","modified STRT-seq","Homo sapiens","1,971","Download Explore"
"Interneuron maturation in the human entorhinal cortex Protracted Neuronal Recruitment in the Temporal Lobe of Young Children","entorhinal cortex ganglionic eminence","normal","10x 3' v3","Homo sapiens","20,470","Download Explore"
"Subpallial germinal zones and the developing human entorhinal cortex Protracted Neuronal Recruitment in the Temporal Lobe of Young Children","entorhinal cortex ganglionic eminence","normal","10x 3' v3","Homo sapiens","124,917","Download Explore"
"EC Stream Region at 14 days of age Protracted Neuronal Recruitment in the Temporal Lobe of Young Children","entorhinal cortex","normal","10x 3' v3","Homo sapiens","7,618","Download Explore"
"Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells","lung","anencephaly","10x 3' v2","Homo sapiens","5,499","Download Explore"
"Bone marrow organoids (BMO) Generation of complex human induced pluripotent stem cell-derived bone marrow organoids","bone marrow (organoid)","normal","10x 3' v3","Homo sapiens","31,040","Download Explore"
"Human Trophoblast Organoids Human Trophoblast Organoids","placenta (organoid)","normal","10x 3' v3","Homo sapiens","67,996","Download Explore"
"Epithelial cells collected from 30 segments across the proximal (1) to distal (30) ends of the human small intestine. Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains","small intestine","normal","10x 3' v3","Homo sapiens","19,200","Download Explore"
"Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs","caudate nucleus putamen","normal opiate dependence","10x 3' v3","Homo sapiens","98,848","Download Explore"
"CD19-CARpos and CARneg T cells Integrative single-cell multi-omics of CD19-CARpos and CARneg T cells suggest drivers of immunotherapy response in B-ALL","blood T cell (primary cell culture)","B-cell acute lymphoblastic leukemia","10x 5' v1","Homo sapiens","37,100","Download Explore"
"S3_Col_R A416371 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","right colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S2_Col_R A595688 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","right colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S5_Rec A121573 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S3_Col_R A416371 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","right colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S7_Rec/Sig A798015 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectosigmoid junction","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S4_Col_Sig A120838 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","sigmoid colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S1_Cec A551763 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","caecum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S4_Col_Sig A120838 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","sigmoid colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S2_Col_R A595688 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","right colon","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S6_Rec A938797 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S5_Rec A121573 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S7_Rec/Sig A798015 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectosigmoid junction","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S1_Cec A551763 Rep1 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","caecum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"S6_Rec A938797 Rep2 Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics","rectum","colorectal cancer","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"ScaleBio Single Cell RNA Sequencing of Human PBMCs ScaleBio Single Cell RNA Sequencing of Human PBMCs","blood","normal","ScaleBio single cell RNA sequencing","Homo sapiens","685,024","Download Explore"
"Visium spatial - face_temple_B_b Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","skin of temple","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial - body_inguinal_B Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","inguinal part of abdomen","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial - bcc_face_cheek_B Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","skin of cheek","basal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial - bcc_face_nose_C Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","nose skin","basal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial - face_nose_A_a Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","nose skin","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Visium spatial - body_thigh_A Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma","upper leg skin","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
